c 1
c 2
c 3
l 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
r 1 C
r C 1
l a
c 4
c 5
l a
